lat,lon,elevation_m
32.0796728,-81.1166491,7.0
32.0384907,-81.1205614,2.0
32.0347682,-81.0841313,3.0
32.0607071,-81.0889828,8.0
32.065001,-81.108689,13.0
31.9726964,-81.126552,-2.0
32.0902725,-81.1332105,8.0
32.1081266,-81.1538823,6.0
32.0724559,-81.1244804,8.0
32.0800675,-81.0967829,14.0
32.049231,-81.1092499,12.0
31.9966229,-81.13764,12.0
32.0490295,-81.1314223,11.0
31.46643,-81.3102625,1.0
32.0577219,-81.1112234,15.0
32.074917,-81.1688935,8.0
32.058506,-81.0807397,9.0
32.0561791,-81.1010266,16.0
32.0169061,-81.0997519,21.0
32.0622457,-81.0982166,15.0
32.052376,-81.0707688,10.0
32.0673353,-81.0809976,6.0
30.751785,-81.5598166,1.0
32.054159,-81.0931284,13.0
32.0828593,-81.0540407,2.0
31.9644699,-81.178171,11.0
32.0246732,-81.2393085,13.0
31.1828244,-81.5134068,1.0
32.0655737,-81.0660527,14.0
32.0518472,-81.0843019,7.0
31.1402126,-81.5086931,3.0
32.0619461,-81.0482825,7.0
32.023324,-81.051857,12.0
31.207756,-81.4880673,0.0
31.1758545,-81.4752744,5.0
32.0485293,-81.0567866,13.0
32.0651866,-81.1268036,9.0
32.0157346,-81.2578533,14.0
31.9853784,-81.1427674,13.0
31.9388503,-81.3220146,16.0
32.0330666,-81.1029305,16.0
32.2090275,-81.2112312,10.0
31.8174281,-81.572421,13.0
32.0006956,-81.1000011,17.0
32.0307028,-81.0760378,14.0
32.0940072,-81.2859943,9.0
32.0269646,-81.0669546,10.0
32.0692579,-81.0923569,20.0
32.0289953,-81.1670949,18.0
31.9968174,-81.0678485,14.0
31.1988891,-81.4671337,2.0
31.9798614,-81.2035921,1.0
31.8459196,-81.6024863,20.0
31.8986194,-81.356358,11.0
31.1261435,-81.4571145,0.0
31.852802,-81.5833954,20.0
31.9740193,-81.2762473,3.0
31.4902449,-81.4215105,7.0
32.0155607,-81.14483,11.0
32.0106917,-81.0780492,23.0
31.991237,-81.1173083,22.0
31.7181539,-81.4004554,16.0
32.0458623,-81.3323442,18.0
32.05556,-81.1874687,13.0
31.8197412,-81.6095694,26.0
31.9377252,-81.0986956,1.0
32.1747587,-81.1702876,16.0
31.2209825,-81.467407,11.0
31.9611848,-81.107891,2.0
32.0801685,-81.2235159,17.0
31.7949425,-81.6406635,33.0
32.0701433,-81.0977753,19.0
31.9503191,-81.2448882,1.0
31.8368883,-81.4472784,15.0
31.7720581,-81.6174554,29.0
31.5503255,-81.5205034,10.0
30.8460969,-81.7909115,9.0
31.9696272,-81.1616966,16.0
31.8529765,-81.5143949,16.0
31.8320324,-81.6273559,30.0
32.3000993,-81.1753538,14.0
31.8249997,-81.4133457,17.0
31.245488,-81.5570965,1.0
32.009617,-81.2292723,7.0
31.7186561,-81.2671179,11.0
32.1041299,-81.1810517,20.0
31.0360668,-81.7224784,4.0
32.1800181,-81.4767191,28.0
31.2385719,-81.470864,10.0
32.0444057,-81.085655,9.0
32.1725485,-81.3849415,8.0
31.9751474,-80.9006411,3.0
31.9732263,-80.9724603,-1.0
31.2133935,-81.5366684,0.0
32.1426895,-81.2449945,8.0
31.5804214,-81.2844327,3.0
30.7875584,-81.7600616,5.0
32.0196721,-80.9708372,10.0
31.9807641,-81.1081388,16.0
31.2693466,-81.5175334,7.0
32.0604367,-81.2583265,6.0
31.8110228,-81.6381094,34.0
32.0339149,-81.0008485,11.0
31.3801224,-81.4184416,18.0
32.1651305,-81.2612071,9.0
31.3472913,-81.5303055,9.0
32.0033778,-80.9774405,9.0
32.0748783,-81.2762161,12.0
31.2251102,-81.5114452,17.0
31.991505,-80.946048,1.0
30.7738179,-81.5976086,8.0
32.128951,-81.3073009,18.0
32.0364673,-81.2415058,8.0
