lat,lon,elevation_m
29.3892824,-94.9619207,4.0
29.4376953,-94.9821525,3.0
29.3657666,-94.9646367,11.0
29.3437883,-94.9829223,3.0
29.390097,-94.9014714,6.0
29.390119,-94.9240602,11.0
29.5086936,-94.9851915,12.0
29.5056966,-94.9942414,13.0
29.4731586,-95.0380543,8.0
29.3738302,-94.9866832,10.0
29.3632862,-94.9801192,15.0
29.3910239,-95.0164301,7.0
29.5257658,-95.1129325,6.0
29.4013196,-94.9310115,1.0
29.4517166,-95.0562379,19.0
29.3867309,-94.9893812,10.0
29.5313914,-95.0098498,10.0
29.482223,-94.9438244,4.0
29.3727169,-95.0232028,11.0
29.5169711,-95.0837208,7.0
29.2976535,-94.8080731,9.0
29.464296,-94.9919613,3.0
29.4668759,-95.0718982,16.0
29.2907716,-94.8095777,6.0
29.5313975,-95.0864098,0.0
29.4942773,-94.9706455,4.0
29.4352815,-95.0430108,8.0
29.4159751,-95.1700594,10.0
29.288466,-94.825915,8.0
29.4793964,-95.0137979,5.0
29.4806668,-95.0555602,6.0
29.2946041,-94.7998089,6.0
29.299008,-94.7843945,9.0
29.3825245,-95.1538766,10.0
29.4183141,-94.9251851,2.0
29.4879695,-95.1224093,12.0
29.3220243,-94.743232,0.0
29.3036252,-95.0323847,5.0
29.4077754,-95.0618951,8.0
29.4024261,-94.9088859,10.0
29.5298847,-95.1496154,13.0
29.3510179,-94.823586,3.0
29.2834323,-94.8633315,6.0
29.2831185,-94.808191,9.0
29.4802543,-95.0891522,6.0
29.3291253,-95.109837,8.0
29.541553,-95.0979108,4.0
29.28692,-94.8013962,9.0
29.3590201,-94.9128392,6.0
29.5522192,-95.053794,3.0
29.5195603,-95.0333103,4.0
29.2676962,-94.8320423,9.0
29.4969855,-95.2103452,12.0
29.499182,-95.1042995,9.0
29.5358927,-95.0268196,4.0
29.4989975,-95.0876236,11.0
29.4144608,-95.1215912,6.0
29.4961205,-95.1182804,12.0
29.4448171,-95.1024222,6.0
29.2819218,-94.8208616,9.0
29.372477,-95.1143421,12.0
29.476734,-95.1120345,10.0
29.7654725,-94.973955,9.0
29.4910561,-95.1307551,12.0
29.3907653,-95.1081966,9.0
29.3200552,-94.7716394,8.0
29.5137895,-95.1797655,13.0
29.3592585,-95.0687489,10.0
29.7463599,-94.9558793,14.0
29.7785633,-95.012249,9.0
29.4559377,-95.0913162,9.0
29.5209786,-95.0547974,6.0
29.7455562,-95.008638,11.0
29.5286473,-95.0200429,7.0
29.663573,-95.2013272,13.0
29.7418815,-94.974773,12.0
29.7034554,-94.9581652,12.0
29.6521843,-95.1931237,13.0
29.5458732,-95.0309379,9.0
29.6744801,-95.1649829,15.0
29.766428,-94.9479552,14.0
29.6871648,-95.2011254,11.0
